ID,ROLES,SALARY,EDUCATION,EXPERIENCE,NOC CODE,TEER,BUSINESS,LOCATIONS,PUBLISHED DATES,EMPLOYMENT TYPE,JOB DURATION,WEEKLY HOURS,VACANCIES,WORK PERMIT
41459001,food counter attendant,$15.80,"No degree, certificate or diploma",Will train,65201,5,Cora Breakfast and Lunch,Leduc (AB),"July 15, 2024",Full time,Permanent employment,32 hours per week,3,No
41458737,administrative assistant,$28.50,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 to less than 7 months,13110,3,ELM Logistics,Mississauga (ON),"July 15, 2024",Full time,Permanent employment,35 hours per week,2,No
41458145,food service supervisor,$18.65,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Tim Hortons,Edmonton (AB),"July 15, 2024",Full time,Permanent employment,32 hours per week,2,No
41458140,food counter attendant,$15.80,"No degree, certificate or diploma",Will train,65201,5,Tim Hortons,Edmonton (AB),"July 15, 2024",Full time,Permanent employment,32 hours per week,6,No
41453015,accounting bookkeeper,$28.50,Bachelor's degree,1 year to less than 2 years,12200,2,V-MAP Tax and Accounting Services Inc.,Brampton (ON),"July 13, 2024",Full time,Permanent employment,30 hours per week,1,No
41449281,managing director,0.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",5 years or more,10019,0,Trafitek Mobility and Security Solutions Canada Inc.,London (ON),"July 12, 2024",Full time,Permanent employment,37.5 hours per week,1,No
41449249,family physician,0.00,"Degree in medicine, dentistry, veterinary medicine or optometry",Experience an asset,31102,1,Dr Odetola Professional Corporation,Edmonton (AB),"July 12, 2024",Full time,Permanent employment,35 to 40 hours per week,2,No
41447603,financial advisor,$36.00,Bachelor's degree,1 year to less than 2 years,11102,1,CAPTURE ACCOUNTANTS LTD.,Brampton (ON),"July 12, 2024",Full time,Permanent employment,40 to 44 hours per week,1,No
41446751,"farm worker, vegetables",$16.71,"No degree, certificate or diploma",Experience an asset,85101,5,2492309 Ontario Limited,Various locations,"July 12, 2024",Full time,Permanent employment,40 to 60 hours per week,18,Yes
41443551,long haul truck driver,$28.40,"No degree, certificate or diploma",3 years to less than 5 years,73300,3,Global Waste Services Inc,Etobicoke (ON),"July 11, 2024",Full time,Permanent employment,40 hours per week,3,No
41443544,food and beverage server,$18.50,Secondary (high) school graduation certificate,Will train,65200,5,Lumberjacks Restaurant & Sportsman Pub,Edmonton (AB),"July 11, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41442552,dental assistant,$26.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 year to less than 2 years,33100,3,BURFORD FAMILY DENTISTRY,Burford (ON),"July 11, 2024",Full time,Permanent employment,32 to 35 hours per week,1,Yes
41440485,nanny,$19.00,Secondary (high) school graduation certificate,Will train,44100,4,ROLLEI SHAH,Mississauga (ON),"July 11, 2024",Full time,Permanent employment,30 hours per week,1,Yes
41440052,construction labourer,$28.85,"No degree, certificate or diploma",1 to less than 7 months,75110,5,GHBRAR CARPENTRY LTD,Edmonton (AB),"July 11, 2024",Full time,Permanent employment,35 to 40 hours per week,2,No
41439817,food service supervisor,$17.50,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,SWISS CHALET,Orléans (ON),"July 11, 2024",Full time,Permanent employment,38 hours per week,3,No
41439719,construction trades helper,$28.50,Secondary (high) school graduation certificate,1 to less than 7 months,75110,5,ART CONSTRUCTIONS INC.,Brampton (ON),"July 11, 2024",Full time,Permanent employment,40 hours per week,2,Yes
41434318,head chef,$20.00,Other trades certificate or diploma,5 years or more,62200,2,Rock Bottom Bar & Grill,Windsor (ON),"July 10, 2024",Full time,Permanent employment,35 to 44 hours per week,1,Yes
41433573,food service supervisor,$17.00,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,MB Scarborough Inc.,Scarborough (ON),"July 10, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41432917,nanny,$18.00,Other trades certificate or diploma,3 years to less than 5 years,44100,4,Timothy Troy,Red Deer (AB),"July 10, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41429600,medical clinic receptionist,$18.50,Secondary (high) school graduation certificate,1 year to less than 2 years,14101,4,The Grip Massage Therapy Clinic,Edmonton (AB),"July 10, 2024",Full time,Permanent employment,35 to 40 hours per week,1,No
41428830,food service supervisor,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,2464099 ALBERTA LTD,Calgary (AB),"July 09, 2024",Full time,Permanent employment,35 to 40 hours per week,2,No
41427895,"assistant operator, printing press",$23.50,Secondary (high) school graduation certificate,Experience an asset,73401,3,Peel Plastic Products Limited,Brampton (ON),"July 09, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41427807,dairy farm worker,$16.71,"No degree, certificate or diploma",Will train,85100,5,Nagelhaven Farms Ltd.,Springfield (ON),"July 09, 2024",Full time,Permanent employment,40 hours per week,2,No
41426451,liaison officer,0.00,Bachelor's degree,7 months to less than 1 year,13100,3,Progressive Academy Education Society,Edmonton (AB),"July 09, 2024",Full time,Permanent employment,37.5 hours per week,1,Yes
41426072,maintenance person - building,$21.00,Secondary (high) school graduation certificate,Experience an asset,73201,3,Holiday Inn Express Newmarket,Newmarket (ON),"July 09, 2024",Full time,Permanent employment,30 hours per week,1,No
41425831,drywall finisher,$29.50,Secondary (high) school graduation certificate,1 year to less than 2 years,73102,3,Cross888 Construction Ltd.,Calgary (AB),"July 09, 2024",Full time,Permanent employment,35 to 40 hours per week,2,Yes
41423047,kitchen helper,$15.50,"No degree, certificate or diploma",Experience an asset,65201,5,D SPOT DESSERT CAFE,Calgary (AB),"July 08, 2024",Full time,Permanent employment,30 to 40 hours per week,3,Yes
41422475,drywall installer,$29.50,Secondary (high) school graduation certificate,1 year to less than 2 years,73102,3,Open Lion Construction Ltd,Calgary (AB),"July 08, 2024",Full time,Permanent employment,40 hours per week,1,No
41422231,farm worker - harvesting,$17.95,"No degree, certificate or diploma",Will train,85101,5,Finster Farms Ltd.,Valleyview (AB),"July 08, 2024",Full time,Permanent employment,30 to 44 hours per week,2,Yes
41422125,"supervisor, food services",$18.00,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,Bite Me Guelph Inc,Guelph (ON),"July 08, 2024",Full time,Permanent employment,35 to 40 hours per week,3,No
41421898,cleaner,$20.00,"No degree, certificate or diploma",1 to less than 7 months,65310,5,1537003 ALBERTA LTD.,Calgary (AB),"July 08, 2024",Full time,Permanent employment,30 hours per week,2,Yes
41421824,cook,$16.55,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,1817063 Ontario Inc.,Mississauga (ON),"July 08, 2024",Full time,Permanent employment,40 hours per week,3,Yes
41421372,tilesetter,$28.85,"No degree, certificate or diploma",3 years to less than 5 years,73101,3,Romalex Deco Studio,Calgary (AB),"July 08, 2024",Full time,Permanent employment,40 to 44 hours per week,3,Yes
41421273,cook's helper,$16.70,"No degree, certificate or diploma",Will train,65201,5,Royal Spice,Windsor (ON),"July 08, 2024",Full time,Permanent employment,35 hours per week,1,No
41420910,assistant manager - food services,$20.25,Secondary (high) school graduation certificate,7 months to less than 1 year,60030,0,TIM HORTONS,Cambridge (ON),"July 08, 2024",Full time,Permanent employment,30 hours per week,1,No
41420783,daycare teacher,$18.00,Bachelor's degree,2 years to less than 3 years,42202,2,Jolly Smart Kids Childcare Center Inc.,Cochrane (AB),"July 08, 2024",Full time,Permanent employment,40 hours per week,2,No
41420737,shift manager - fast food restaurant,$17.30,Secondary (high) school graduation certificate,7 months to less than 1 year,62020,2,FMI National Inc,Brampton (ON),"July 08, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41420469,farm supervisor,$21.63,"No degree, certificate or diploma",7 months to less than 1 year,82030,2,Scotlynn Sweetpac Growers Inc.,Vittoria (ON),"July 08, 2024",Full time,Permanent employment,30 to 40 hours per week,5,Yes
41419888,child care provider - private home,$19.00,Secondary (high) school graduation certificate,1 year to less than 2 years,44100,4,Susie Bobis Cabaltera,North York (ON),"July 08, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41419815,systems technical support analyst,$29.00,College/CEGEP,1 year to less than 2 years,22221,2,Synergy IT Solutions Inc.,Mississauga (ON),"July 08, 2024",Full time,Permanent employment,30 to 35 hours per week,1,No
41419440,truck drivers supervisor,$37.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",7 months to less than 1 year,72024,2,Noble Freight System Inc,Brampton (ON),"July 08, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41419320,farm supervisor,$28.00,"No degree, certificate or diploma",7 months to less than 1 year,82030,2,Sereda Farms Ltd.,Rolling Hills (AB),"July 08, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41506905,food service supervisor,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,PIZZA PIZZA,Belleville (ON),"July 08, 2024",Full time,Permanent employment,32 to 35 hours per week,1,Yes
41417319,retail store supervisor,$28.50,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,BIG BEAR FOOD MART,Hamilton (ON),"July 07, 2024",Full time,Permanent employment,32 to 35 hours per week,2,Yes
41417176,truck dispatcher,$28.85,Secondary (high) school graduation certificate,1 to less than 7 months,14404,4,Alliance Transport Ltd.,London (ON),"July 07, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41415410,diesel mechanic,$33.00,Secondary (high) school graduation certificate,1 year to less than 2 years,72401,2,KJS Transport Inc,Brampton (ON),"July 06, 2024",Full time,Permanent employment,35 hours per week,2,No
41412591,delivery drivers supervisor,$28.00,Secondary (high) school graduation certificate,7 months to less than 1 year,72024,2,BANSAL LOGISTICS INC.,Various locations,"July 05, 2024",Full time,Permanent employment,35 hours per week,3,Yes
41411953,cook,$17.00,Secondary (high) school graduation certificate,2 years to less than 3 years,63200,3,Al's Pizza,Calgary (AB),"July 05, 2024",Full time,Permanent employment,30 to 44 hours per week,2,Yes
41411022,drywall installer,$29.50,Secondary (high) school graduation certificate,1 year to less than 2 years,73102,3,MS DRYWALL LTD.,Calgary (AB),"July 05, 2024",Full time,Permanent employment,30 hours per week,2,Yes
41409758,digital marketing specialist,$33.00,College/CEGEP,1 year to less than 2 years,11202,1,Comfort Night,Scarborough (ON),"July 05, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41409470,psychiatrist,0.00,Master's degree,Experience an asset,31100,1,Westbrook Walk in Medical Clinic Inc,Calgary (AB),"July 05, 2024",Full time,Term or contract,36 to 40 hours per week,1,No
41409174,construction labourer,$27.00,"No degree, certificate or diploma",Will train,75110,5,Aztec Structural Restoration Inc.,Bolton (ON),"July 05, 2024",Full time,Permanent employment,37.5 hours per week,5,Yes
41409074,food service supervisor,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Tim hortons,Hamilton (ON),"July 05, 2024",Full time,Permanent employment,40 hours per week,1,No
41408717,cook,$17.00,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,WOW INDIA OTTAWA INC,Vanier (ON),"July 05, 2024",Full time,Permanent employment,32 hours per week,3,No
41407144,operations supervisor,$30.00,Secondary (high) school graduation certificate,1 year to less than 2 years,12010,2,BBZ Building Supplier Ltd,Spruce Grove (AB),"July 05, 2024",Full time,Permanent employment,40 hours per week,1,No
41407108,material handler,$21.00,Secondary (high) school graduation certificate,Experience an asset,75101,5,BBZ Building Supplier Ltd,Spruce Grove (AB),"July 05, 2024",Full time,Permanent employment,40 hours per week,1,No
41406515,kitchen cabinet installer,$28.50,Secondary (high) school graduation certificate,1 to less than 7 months,73200,3,TDOT KITCHEN & CABINETS INC,Brampton (ON),"July 04, 2024",Full time,Permanent employment,35 hours per week,1,No
41405058,child care worker assistant,$19.00,Secondary (high) school graduation certificate,1 year to less than 2 years,42202,2,A CHILD’S STORY – TERWILLEGAR DAY CARE,Edmonton (AB),"July 04, 2024",Full time,Permanent employment,30 hours per week,2,No
41501871,accountant,0.00,Master's degree,3 years to less than 5 years,11100,1,Eberspaecher Vecture Inc.,Concord (ON),"July 04, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41404574,jewellery moulder,$22.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",Will train,62202,2,Triocast Inc.,Toronto (ON),"July 04, 2024",Full time,Permanent employment,35 to 40 hours per week,2,No
41404536,marketing assistant,$32.31,College/CEGEP,1 to less than 7 months,11202,1,M.A.C.R.E. FOREIGN IMMIGRATION CONSULTING LIMITED,Scarborough (ON),"July 04, 2024",Full time,Permanent employment,30 hours per week,1,No
41404305,fruit farm labourer,$16.55,"No degree, certificate or diploma",Will train,85101,5,THOMPSON'S ORCHARDS LTD,Blenheim (ON),"July 04, 2024",Full time,Term or contract (ending: 2027-01-31),30 to 55 hours per week,2,Yes
41404291,"driver, truck",$27.70,Secondary (high) school graduation certificate,1 year to less than 2 years,73300,3,Pro-Formance Intermodel Inc,Rocky View (AB),"July 04, 2024",Full time,Permanent employment,60 to 70 hours per week,10,Yes
41403705,long haul truck driver,$31.50,"No degree, certificate or diploma",Experience an asset,73300,3,Epic Trails Ltd.,Lethbridge (AB),"July 04, 2024",Full time,Permanent employment,40 to 60 hours per week,4,No
41403673,long haul truck driver,$27.80,Secondary (high) school graduation certificate,1 to less than 7 months,73300,3,Star Alberta Transport Corporation,Calgary (AB),"July 04, 2024",Full time,Permanent employment,50 to 60 hours per week,8,No
41403288,welder,$26.00,College/CEGEP,1 year to less than 2 years,72106,2,Highlight Motor Freight Inc.,Concord (ON),"July 04, 2024",Full time,Permanent employment,35 hours per week,3,No
41403240,cook,$18.50,Secondary (high) school graduation certificate,1 to less than 7 months,63200,3,2689174 Ontario Inc.,Trenton (ON),"July 04, 2024",Full time,Permanent employment,35 to 44 hours per week,2,Yes
41403238,shipping and receiving supervisor,$28.50,College/CEGEP,1 year to less than 2 years,12013,2,2359981 Ontario Inc.,Markham (ON),"July 04, 2024",Full time,Permanent employment,35 hours per week,1,No
41402619,dairy farm worker,$17.20,"No degree, certificate or diploma",7 months to less than 1 year,85100,5,New Obelink Farms Ltd.,Arthur (ON),"July 04, 2024",Full time,Permanent employment,40 to 60 hours per week,2,Yes
41402614,car mechanic,$28.00,Secondary (high) school graduation certificate,Will train,72410,2,Beeton Trucks and Minivan Store,Beeton (ON),"July 04, 2024",Full time,Permanent employment,35 hours per week,2,No
41400104,landscape worker,$19.25,"No degree, certificate or diploma",Will train,85121,5,Atlas Landscaping Inc,Edmonton (AB),"July 04, 2024",Full time,Permanent employment,40 hours per week,5,No
41400101,administrative assistant,$25.00,Secondary (high) school graduation certificate,1 year to less than 2 years,13110,3,AP Cleaning Services Ltd.,Red Deer (AB),"July 04, 2024",Full time,Permanent employment,35 hours per week,1,No
41400066,bookkeeper,$25.00,College/CEGEP,7 months to less than 1 year,12200,2,Canada Fortune Group Inc,Mississauga (ON),"July 03, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41399459,food service supervisor,$18.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,HT INTERNATIONAL INC,Scarborough (ON),"July 03, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41399156,network support technician,$36.06,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 year to less than 2 years,22220,2,BuMaxx Group,Edmonton (AB),"July 03, 2024",Full time,Permanent employment,30 hours per week,2,Yes
41398161,sheet-metal-working machine operator - metal products manufacturing,$22.00,Secondary (high) school graduation certificate,Will train,94105,4,Wise Line Building Products Inc,Mallorytown (ON),"July 03, 2024",Full time,Permanent employment,32 hours per week,1,No
41397063,nursery worker,$16.71,"No degree, certificate or diploma",Experience an asset,85103,5,Sloan's Nursery & Christmas Trees,Bothwell (ON),"July 03, 2024",Full time,Seasonal employment,40 to 60 hours per week,6,Yes
41396810,cook,$21.25,Secondary (high) school graduation certificate,Experience an asset,63200,3,Golden Life Management Corp.,Pincher Creek (AB),"July 03, 2024",Full time,Permanent employment,32 to 40 hours per week,1,Yes
41396677,roofer,$40.30,"No degree, certificate or diploma",3 years to less than 5 years,73110,3,Flynn Canada Ltd.,Mississauga (ON),"July 03, 2024",Full time,Permanent employment,30 to 40 hours per week,10,Yes
41396317,long haul truck driver,$29.50,Secondary (high) school graduation certificate,1 to less than 7 months,73300,3,Majha Wala Transportation Inc.,Edmonton (AB),"July 03, 2024",Full time,Permanent employment,30 to 50 hours per week,2,No
41393340,digital advertising specialist,$30.77,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",2 years to less than 3 years,11202,1,Powerlink Electrical Ltd,Edmonton (AB),"July 03, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41390813,kitchen helper,$16.55,"No degree, certificate or diploma",Will train,65201,5,954559 Ontario Limited,Welland (ON),"July 02, 2024",Full time,Permanent employment,35 hours per week,10,Yes
41389650,carpet installer,$30.00,Secondary (high) school graduation certificate,1 year to less than 2 years,73113,3,Floor Concepts Ltd,Edmonton (AB),"July 02, 2024",Full time,Permanent employment,30 to 40 hours per week,1,No
41388585,sales supervisor - retail,$20.00,Bachelor's degree,1 year to less than 2 years,62010,2,Vape4u,Harriston (ON),"July 02, 2024",Full time,Permanent employment,30 to 40 hours per week,1,Yes
41387849,long haul truck driver,$29.50,Secondary (high) school graduation certificate,Experience an asset,73300,3,G A BHANDAL TRANSPORT LTD.,Edmonton (AB),"July 02, 2024",Full time,Permanent employment,45 hours per week,2,No
41479837,restaurant manager,$20.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",7 months to less than 1 year,60030,0,Tim Hortons,Stratford (ON),"July 02, 2024",Full time,Permanent employment,35 hours per week,4,No
41385980,poultry farm worker,$16.71,"No degree, certificate or diploma",Will train,85100,5,MARCEL BOURDON LIMITED MARCEL B,Maxville (ON),"July 02, 2024",Full time,Permanent employment,35 to 50 hours per week,3,Yes
41385712,food service supervisor,$19.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Valentino Pizzeria and Burgers,Edmonton (AB),"July 02, 2024",Full time,Permanent employment,37.5 hours per week,2,No
41381639,kitchen helper,$15.80,"No degree, certificate or diploma",Will train,65201,5,Atomic pizza & Donair,Stony Plain (AB),"July 01, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41381624,retail store supervisor,$20.85,"No degree, certificate or diploma",1 year to less than 2 years,62010,2,Canadian Tire,Dryden (ON),"July 01, 2024",Full time,Permanent employment,30 to 40 hours per week,2,Yes
